Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine,Power,Seats,Price,Brand,Model,Age,Mileage(kmpl)
Pune,95980,Petrol,Manual,First,1197.0,78.9,5.0,2.25,Hyundai,i10,11,20.36
Bangalore,16000,Petrol,Manual,First,1197.0,82.0,5.0,5.75,Hyundai,Grand,4,18.9
Hyderabad,73745,Petrol,Manual,First,1086.0,,5.0,2.1,Hyundai,Santro,13,17.0
Mumbai,18949,Petrol,Manual,First,1198.0,86.7,5.0,5.0,Honda,Amaze,4,17.8
Delhi,107000,Diesel,Manual,First,2982.0,168.5,7.0,16.5,Toyota,Fortuner,6,13.0
Coimbatore,48367,Diesel,Automatic,First,1968.0,174.33,5.0,39.58,Audi,A6,2,17.68
Delhi,57000,Diesel,Manual,First,1498.0,89.84,5.0,5.5,Ford,Ecosport,7,22.7
Delhi,58000,Diesel,Manual,First,2179.0,140.0,7.0,8.1,Mahindra,XUV500,6,15.1
Kolkata,30000,Diesel,Manual,First,1498.0,98.6,5.0,3.5,Honda,Amaze,5,25.8
Kolkata,34212,Diesel,Manual,First,1199.0,73.9,5.0,2.79,Volkswagen,Polo,7,22.07
Ahmedabad,70002,Diesel,Manual,First,1493.0,110.0,5.0,3.45,Hyundai,Verna,10,16.2
Bangalore,62000,Petrol,Manual,First,998.0,67.1,5.0,4.45,Maruti,Wagon,4,18.9
Delhi,62001,Petrol,Manual,First,1598.0,103.5,5.0,2.65,Volkswagen,Polo,10,15.26
Pune,78958,Diesel,Manual,Second,1396.0,90.0,5.0,3.8,Hyundai,i20,9,23.0
Mumbai,30180,Petrol,Manual,First,1197.0,82.85,5.0,4.65,Hyundai,i20,6,18.5
Pune,32851,Petrol,Manual,First,1198.0,67.0,7.0,3.95,Datsun,GO,3,19.83
Kolkata,30000,Diesel,Automatic,First,2967.0,,5.0,9.8,Audi,A4,10,14.94
Pune,66000,Petrol,Manual,Second,1197.0,80.0,5.0,2.7,Hyundai,i20,11,17.0
Coimbatore,93850,Petrol,Manual,First,796.0,35.0,5.0,2.41,Maruti,Omni,10,14.0
Ahmedabad,53000,Petrol,Manual,First,1197.0,78.9,5.0,3.9,Toyota,Etios,6,17.71
Hyderabad,78000,Diesel,Automatic,Second,2993.0,,5.0,24.0,Jaguar,XF,9,14.74
Delhi,65000,Diesel,Manual,Second,2179.0,140.0,7.0,5.75,Mahindra,XUV500,8,16.0
Kolkata,40000,Diesel,Automatic,First,1582.0,126.32,5.0,5.25,Hyundai,Verna,6,22.32
Mumbai,30000,Diesel,Automatic,First,2755.0,171.5,7.0,19.25,Toyota,Innova,3,11.36
Coimbatore,38053,Petrol,Manual,First,1196.0,73.0,5.0,3.91,Maruti,Eeco,3,15.1
Bangalore,25500,Petrol,Manual,First,624.0,37.5,4.0,2.15,Tata,Nano,6,25.4
Mumbai,56087,Diesel,Automatic,First,1995.0,190.0,5.0,20.75,BMW,3,5,22.69
Delhi,71088,Petrol,Manual,First,1799.0,130.0,5.0,3.35,Honda,Civic,10,13.5
Ahmedabad,55000,Diesel,Manual,First,2494.0,100.6,7.0,11.11,Toyota,Innova,6,12.99
Bangalore,32700,Diesel,Automatic,First,1984.0,150.0,5.0,20.0,Volvo,V40,6,23.3
Coimbatore,39882,Petrol,Automatic,First,1198.0,75.94,5.0,6.55,Nissan,Micra,4,19.15
Mumbai,128000,Petrol,Automatic,First,2497.0,215.0,5.0,7.0,BMW,5,11,10.8
Mumbai,55000,Diesel,Manual,First,1248.0,88.5,5.0,7.5,Maruti,Vitara,4,24.3
Mumbai,102000,Petrol,Manual,Second,1086.0,,5.0,0.85,Hyundai,Santro,15,17.0
Pune,53753,Diesel,Automatic,Second,2143.0,107.3,5.0,16.75,Mercedes-Benz,B,6,15.0
Kolkata,10250,Diesel,Manual,First,1582.0,126.2,5.0,10.95,Hyundai,Verna,2,22.0
Pune,43874,Petrol,Manual,First,998.0,67.1,5.0,2.45,Maruti,Wagon,9,18.9
Coimbatore,32684,Petrol,Automatic,First,624.0,37.48,4.0,3.23,Tata,Nano,3,21.9
Kolkata,42000,Diesel,Manual,First,2179.0,120.0,8.0,7.75,Mahindra,Scorpio,6,12.05
Kolkata,28352,Petrol,Automatic,First,1796.0,178.0,5.0,9.35,Mercedes-Benz,New,11,11.7
Pune,89900,CNG,Manual,First,998.0,58.16,5.0,3.25,Maruti,Wagon,7,
Bangalore,47700,Petrol,Manual,Second,2354.0,152.0,5.0,5.25,Honda,CR-V,13,10.8
Pune,55000,Diesel,Automatic,First,1498.0,103.2,5.0,7.25,Volkswagen,Vento,5,21.21
Kochi,44285,Petrol,Manual,First,1373.0,91.1,5.0,7.47,Maruti,Ciaz,3,20.73
Jaipur,54000,Diesel,Automatic,First,2179.0,140.0,7.0,13.25,Mahindra,XUV500,4,16.0
Coimbatore,30232,Petrol,Manual,First,1197.0,85.8,5.0,5.81,Maruti,Ritz,4,21.1
Hyderabad,88500,Petrol,Manual,First,998.0,67.1,5.0,2.6,Maruti,Alto,6,24.07
Kolkata,13372,Petrol,Automatic,First,2996.0,,2.0,54.0,Mercedes-Benz,SLC,3,19.0
Kochi,12645,Petrol,Automatic,First,1591.0,121.3,5.0,11.5,Hyundai,Verna,1,17.0
Chennai,94385,Petrol,Manual,Second,796.0,46.3,5.0,1.6,Maruti,Alto,10,19.7
Coimbatore,31821,Diesel,Automatic,First,1995.0,143.0,5.0,17.22,BMW,1,5,20.58
Mumbai,12000,Petrol,Automatic,First,1199.0,88.7,5.0,6.0,Honda,Jazz,5,19.0
Delhi,88578,Petrol,Manual,First,1799.0,130.0,5.0,3.95,Honda,Civic,8,13.5
Kochi,44965,Diesel,Automatic,First,2143.0,170.0,5.0,17.95,Mercedes-Benz,New,6,19.27
Kolkata,45044,Diesel,Manual,First,1498.0,98.6,5.0,3.7,Honda,Amaze,6,25.8
Kochi,34204,Petrol,Manual,First,1197.0,81.8,5.0,5.43,Maruti,Swift,4,22.0
Kochi,80759,Petrol,Manual,Third,1086.0,,5.0,1.67,Hyundai,Santro,12,17.0
Coimbatore,91235,Diesel,Manual,First,2982.0,171.0,7.0,13.49,Toyota,Fortuner,8,11.5
Pune,38800,Petrol,Manual,First,1199.0,76.8,5.0,2.85,Chevrolet,Beat,6,18.6
Chennai,83000,Diesel,Manual,First,1498.0,103.52,5.0,4.75,Skoda,Rapid,7,21.14
Kochi,41283,Petrol,Manual,First,1373.0,91.1,5.0,9.9,Maruti,Ciaz,2,20.73
Mumbai,23000,Petrol,Automatic,First,2894.0,,4.0,37.0,Audi,RS5,7,11.05
Mumbai,48000,Diesel,Automatic,First,1995.0,190.0,5.0,26.5,BMW,3,6,21.76
Coimbatore,48214,Diesel,Automatic,First,1968.0,174.33,5.0,23.32,Audi,A4,5,17.11
Chennai,35000,Diesel,Manual,First,1248.0,74.0,5.0,6.25,Maruti,Swift,4,22.9
Kolkata,35277,Petrol,Automatic,First,,,5.0,30.0,Mercedes-Benz,S,10,7.81
Coimbatore,54620,Diesel,Automatic,First,1498.0,103.52,5.0,9.86,Skoda,Rapid,4,21.66
Pune,136997,Diesel,Automatic,First,1968.0,138.1,5.0,8.5,Skoda,Superb,8,17.2
Kochi,14322,Petrol,Manual,First,814.0,55.2,5.0,4.23,Hyundai,EON,1,21.1
Jaipur,65634,Diesel,Manual,First,1199.0,73.9,5.0,3.5,Volkswagen,Polo,8,22.07
Kolkata,6000,Petrol,Manual,First,1198.0,67.06,5.0,2.5,Datsun,GO,4,20.63
Kolkata,33280,Petrol,Manual,First,1198.0,86.8,5.0,2.39,Honda,Brio,7,19.4
Delhi,29000,Petrol,Automatic,First,1595.0,120.7,5.0,11.25,Mercedes-Benz,B,7,14.8
Kochi,42831,Diesel,Manual,First,1498.0,98.6,5.0,7.11,Honda,City,5,26.0
Ahmedabad,90000,Diesel,Manual,First,2494.0,100.6,7.0,10.9,Toyota,Innova,4,12.99
Ahmedabad,24005,Petrol,Manual,First,1197.0,81.8,5.0,6.2,Maruti,Swift,3,20.4
Mumbai,32792,Diesel,Manual,First,2179.0,140.0,7.0,7.9,Mahindra,XUV500,8,15.1
Kochi,147898,Diesel,Manual,First,1498.0,89.84,5.0,4.42,Ford,Ecosport,6,22.7
Mumbai,131765,Diesel,Manual,First,2982.0,168.5,7.0,13.5,Toyota,Fortuner,8,13.0
Chennai,65000,Diesel,Automatic,First,1498.0,108.5,5.0,6.25,Volkswagen,Vento,7,21.5
Jaipur,66123,Diesel,Manual,Second,1399.0,68.0,5.0,2.1,Ford,Figo,10,20.0
Mumbai,41000,Diesel,Automatic,First,2993.0,,5.0,45.0,BMW,X5,5,15.3
Coimbatore,23550,Diesel,Automatic,First,2143.0,167.62,5.0,33.66,Mercedes-Benz,New,3,19.27
Bangalore,45000,Petrol,Manual,Second,1198.0,86.8,5.0,3.65,Honda,Brio,8,19.4
Delhi,60000,Petrol,Manual,First,1197.0,78.9,5.0,2.75,Hyundai,i10,7,20.36
Bangalore,44414,Diesel,Automatic,First,2143.0,170.0,5.0,42.5,Mercedes-Benz,GLC,4,17.9
Kolkata,1000,Petrol,Manual,First,1197.0,81.86,5.0,6.5,Hyundai,Grand,1,18.9
Mumbai,62500,Diesel,Automatic,Second,1968.0,174.33,5.0,19.0,Audi,A6,8,17.68
Mumbai,21000,Petrol,Automatic,Second,1598.0,103.6,5.0,4.45,Volkswagen,Vento,7,14.4
Jaipur,8525,Diesel,Automatic,Second,1998.0,112.0,5.0,23.0,Mini,Countryman,3,16.6
Bangalore,29000,Diesel,Manual,First,1396.0,88.73,5.0,8.35,Hyundai,i20,6,22.54
Mumbai,40000,Diesel,Automatic,First,1968.0,174.33,5.0,22.95,Audi,A6,6,17.68
Jaipur,88000,Diesel,Manual,First,936.0,57.6,5.0,1.5,Chevrolet,Beat,8,25.44
Kochi,53537,Petrol,Automatic,First,1798.0,157.75,5.0,6.89,Skoda,Superb,8,13.7
Chennai,216000,Diesel,Manual,Second,1399.0,68.0,5.0,1.45,Ford,Fiesta,14,17.8
Hyderabad,51000,Diesel,Automatic,First,1995.0,190.0,5.0,33.5,BMW,5,6,22.48
Jaipur,118500,Petrol,Manual,First,1598.0,102.5,5.0,1.25,Chevrolet,Optra,13,12.9
Hyderabad,63000,Diesel,Manual,First,1199.0,73.9,5.0,4.2,Volkswagen,Polo,8,22.07
Mumbai,25000,Diesel,Manual,First,1461.0,108.5,8.0,6.75,Renault,Lodgy,5,19.98
Bangalore,37382,Diesel,Automatic,First,2143.0,201.1,5.0,32.0,Mercedes-Benz,E-Class,6,13.0
Kochi,24773,Petrol,Manual,First,1197.0,83.1,5.0,7.5,Maruti,Baleno,3,21.4
Delhi,62000,Diesel,Manual,First,1582.0,126.32,5.0,4.6,Hyundai,Verna,8,22.32
Kochi,52340,Petrol,Manual,First,1086.0,68.05,5.0,4.04,Hyundai,i10,3,19.81
Kochi,56739,Diesel,Manual,First,1997.0,120.0,7.0,10.31,Mahindra,Scorpio,4,15.4
Coimbatore,36091,Diesel,Automatic,First,2179.0,187.7,5.0,55.76,Land,Rover,2,12.7
Chennai,120000,Diesel,Manual,First,1399.0,68.0,5.0,2.6,Ford,Figo,10,20.0
Mumbai,33000,Diesel,Manual,First,1248.0,88.5,7.0,8.5,Maruti,Ertiga,4,25.47
Ahmedabad,60006,Petrol,Manual,First,,,,2.95,Honda,City,13,
Kolkata,52000,Diesel,Manual,First,1498.0,98.6,5.0,3.5,Honda,Amaze,6,25.8
Jaipur,43571,Petrol,Manual,First,1197.0,78.9,5.0,3.55,Hyundai,i10,5,20.36
Kolkata,50000,Diesel,Manual,First,1498.0,98.6,5.0,3.25,Honda,Amaze,7,25.8
Hyderabad,113000,Diesel,Manual,First,1896.0,106.0,5.0,4.5,Skoda,Laura,12,17.5
Delhi,90000,Diesel,Manual,First,1461.0,83.8,5.0,5.35,Renault,Duster,6,19.87
Chennai,29000,Diesel,Manual,Second,1493.0,100.0,7.0,6.5,Mahindra,NuvoSport,3,17.45
Mumbai,20000,Diesel,Manual,First,1248.0,88.5,5.0,9.0,Maruti,Vitara,4,24.3
Kochi,61012,Petrol,Manual,First,1197.0,81.83,5.0,6.0,Hyundai,i20,4,18.6
Jaipur,87459,Petrol,Manual,First,1390.0,85.0,5.0,2.75,Skoda,Fabia,11,14.7
Pune,70500,Petrol,Manual,First,1193.0,64.1,5.0,1.5,Tata,Indigo,10,15.64
Delhi,64103,Diesel,Automatic,First,1968.0,174.33,5.0,19.9,Audi,Q3,5,15.73
Mumbai,76000,Petrol,Automatic,First,1798.0,177.5,5.0,10.0,Skoda,Octavia,6,14.7
Delhi,104000,Diesel,Manual,First,1364.0,67.06,5.0,3.0,Toyota,Etios,6,23.59
Kolkata,42001,Petrol,Manual,First,,,,2.11,Maruti,Swift,10,16.1
Kochi,37245,Petrol,Automatic,First,1595.0,120.7,5.0,11.96,Mercedes-Benz,B,6,14.8
Kolkata,45000,Diesel,Manual,First,1498.0,98.6,5.0,3.25,Honda,Amaze,7,27.4
Jaipur,117837,Diesel,Manual,Second,1582.0,126.32,5.0,4.75,Hyundai,Verna,8,22.32
Mumbai,30000,Diesel,Manual,First,1461.0,83.8,5.0,5.95,Renault,Duster,6,20.46
Delhi,27057,Petrol,Manual,Second,1591.0,121.3,5.0,8.15,Hyundai,Creta,5,15.29
Mumbai,8500,Petrol,Automatic,First,998.0,67.0,5.0,4.22,Maruti,Wagon,4,20.51
Kolkata,30500,Petrol,Automatic,First,1796.0,186.0,5.0,10.5,Mercedes-Benz,New,10,11.74
Delhi,56000,Diesel,Automatic,First,2967.0,,5.0,45.0,Audi,A8,8,11.8
Pune,44000,Petrol,Manual,Second,1086.0,68.05,5.0,2.9,Hyundai,i10,8,19.81
Mumbai,10500,Petrol,Automatic,First,1598.0,103.52,5.0,8.9,Skoda,Rapid,3,14.3
Hyderabad,26000,Petrol,Automatic,First,1798.0,177.46,5.0,26.0,Skoda,Superb,3,14.67
Coimbatore,25166,Petrol,Manual,First,1197.0,81.86,5.0,8.22,Hyundai,i20,2,17.19
Kolkata,64000,Diesel,Manual,Second,1498.0,98.6,5.0,3.5,Honda,Amaze,6,25.8
Chennai,61000,Petrol,Manual,Second,998.0,67.1,5.0,1.25,Maruti,Wagon,16,18.9
Hyderabad,107000,Diesel,Manual,First,1461.0,65.0,5.0,3.7,Mahindra,Verito,7,21.03
Coimbatore,29161,Diesel,Automatic,First,2143.0,167.62,5.0,39.41,Mercedes-Benz,New,2,19.27
Kolkata,32000,Petrol,Manual,First,998.0,67.04,5.0,2.65,Maruti,Wagon,7,22.5
Coimbatore,46173,Diesel,Manual,Second,1461.0,108.5,5.0,8.92,Nissan,Terrano,5,19.01
Delhi,47000,Diesel,Manual,First,1248.0,,5.0,4.1,Maruti,Swift,7,17.8
Kochi,26327,Petrol,Automatic,First,1998.0,189.08,4.0,35.67,Mini,Cooper,3,16.82
Bangalore,70436,Diesel,Manual,First,1498.0,99.0,,3.6,Ford,Figo,5,
Jaipur,200000,Diesel,Manual,Second,1396.0,53.5,5.0,0.85,Tata,Indica,13,17.2
Kochi,60813,Petrol,Manual,Second,1199.0,76.8,5.0,3.32,Chevrolet,Beat,4,18.6
Mumbai,45000,Diesel,Manual,First,1199.0,73.9,5.0,3.6,Volkswagen,Polo,8,22.07
Hyderabad,64000,Diesel,Manual,First,1248.0,74.0,5.0,6.8,Maruti,Swift,4,22.9
Kolkata,41284,Diesel,Manual,First,1399.0,68.05,5.0,2.5,Ford,Figo,8,20.0
Kochi,14165,Diesel,Automatic,First,2755.0,171.5,7.0,19.64,Toyota,Innova,1,11.36
Mumbai,67000,Diesel,Automatic,Second,2199.0,194.3,7.0,7.0,Hyundai,Santa,9,11.72
Kolkata,32572,Petrol,Manual,First,1497.0,117.3,5.0,3.87,Honda,City,9,17.4
Kochi,14960,Petrol,Manual,First,1197.0,81.83,5.0,6.27,Hyundai,i20,2,18.6
Kochi,55980,Diesel,Automatic,First,2143.0,167.62,5.0,18.12,Mercedes-Benz,New,5,19.27
Mumbai,74000,Diesel,Manual,First,936.0,57.6,5.0,2.65,Chevrolet,Beat,7,25.44
Kochi,56847,Diesel,Manual,First,1396.0,88.73,5.0,7.2,Hyundai,i20,5,22.54
Coimbatore,121374,Diesel,Manual,First,2494.0,100.6,7.0,14.3,Toyota,Innova,5,12.99
Chennai,52000,Diesel,Manual,First,1248.0,88.76,7.0,6.9,Maruti,Ertiga,7,20.77
Mumbai,118000,Diesel,Manual,First,2494.0,102.0,7.0,10.75,Toyota,Innova,6,12.8
Mumbai,72000,Petrol,Manual,Third,1086.0,,5.0,0.95,Hyundai,Santro,13,17.0
Kochi,33915,Petrol,Manual,First,1497.0,117.3,5.0,8.09,Honda,City,4,17.8
Ahmedabad,82002,Diesel,Automatic,First,1995.0,184.0,5.0,18.5,BMW,X1,6,17.05
Mumbai,33000,Diesel,Manual,First,1120.0,70.0,5.0,4.75,Hyundai,Grand,3,24.0
Chennai,34000,Diesel,Manual,First,1248.0,88.5,5.0,8.45,Maruti,Ciaz,4,28.09
Kolkata,55000,Diesel,Manual,First,1598.0,103.6,5.0,3.5,Skoda,Rapid,8,20.5
Kochi,160538,Diesel,Manual,First,1493.0,82.0,5.0,1.8,Hyundai,Accent,14,13.1
Jaipur,60000,Diesel,Manual,Second,1498.0,103.6,5.0,3.7,Volkswagen,Polo,6,19.91
Coimbatore,49575,Petrol,Manual,First,1199.0,88.7,5.0,7.17,Honda,Jazz,3,18.7
Jaipur,83000,Petrol,Manual,First,1086.0,68.05,5.0,1.75,Hyundai,i10,10,19.81
Kochi,51346,Diesel,Automatic,First,1995.0,183.0,5.0,21.99,Hyundai,Tucson,2,16.38
Pune,43000,Diesel,Manual,First,2393.0,147.8,7.0,18.65,Toyota,Innova,3,13.68
Jaipur,35000,Petrol,Manual,Third,796.0,35.0,5.0,1.85,Maruti,Omni,9,19.7
Coimbatore,27872,Petrol,Manual,Second,1197.0,81.8,5.0,5.95,Maruti,Swift,3,20.4
Mumbai,16514,Petrol,Manual,First,1197.0,82.0,5.0,3.75,Hyundai,Grand,6,18.9
Pune,120000,Diesel,Manual,First,1248.0,74.0,5.0,3.75,Maruti,Swift,8,22.9
Hyderabad,143275,Diesel,Manual,First,1582.0,126.2,5.0,2.6,Hyundai,Verna,12,22.0
Hyderabad,99000,Petrol,Manual,First,1086.0,,5.0,1.75,Hyundai,Santro,14,
Mumbai,52000,Petrol,Manual,First,1197.0,80.0,5.0,2.8,Hyundai,i20,10,17.0
Coimbatore,29819,Diesel,Automatic,First,2987.0,,5.0,61.29,Mercedes-Benz,GLE,3,11.57
